;2724
电脑艺术设计(平面设计方向);7015
护理学类（中外台作办学）;6543
汉语（对外汉语方向）;3319
物业管理（本）;8857
材料科学;1282
图形图像制作（影视及平面设计方向）;1936
物 流;9707
工业工程 ;2038
连锁经营与管理(医疗连锁管理方向);8511
计算机信息管理（高速公路信息化管理方向）;6699
艺术设计（平面艺术设计方向）;3038
图形图像制作（平面设计方向）;3394
财务会计类(国际商务会计);2471
水利水电工程（学制4年）;2386
信息安全（保密技术）;3060
保险实务(保险理赔方向);2780
艺术设计（数码与动漫设计方向）;7829
国际贸易实务(外贸业务经理);4122
社会体育指导与管理专业(高尔夫方向);1595
中药资源与开发（国家特色专业建设点）;3975
物流管理(国际物流、铁路物流、3+2游学制);4347
新闻学（法制新闻方向）;3676
运动保健康复;961
电子信息工程技术（智能电子产品设）;7708
会计与审计（财务审计与税务管理方向）;3261
食品药品监督管理专业;6193
表演（人物形象设计）;4548
商务英语（专科）;3165
计算机网络技术（网站开发与安全管理） ;837
会计电算化专业（专科）;6149
电子商务（商务网站设计方向）;4782
艺术设计(动画方向);6393
网络编程;7931
西班牙语（订单培养）专业;1322
艺术学院;1019
计算机科学与技术（嵌入式方向）;4955
中国语言文学基地班;235
游戏软件（3G智能手机游戏开发）;8281
风险管理与保险;7000
动画（数字动画艺术方向）;3039
会计（电算会计方向）;6615
电子信息科学;74
土木工程(岩土与地下工程);4639
农艺教育;2140
动漫设计与制作（三维动画方向）;1915
汽车电子技术  (专科);9141
农业机械制造与装配;3514
土建类（中外合作办学）;2997
电子信息实验班;4533
照明艺术;608
应用电子技术专业;1978
环境地质工程技术专业;7092
中马合作商务管理;5700
工商管理（中外课程合作项目）;6042
建筑工程教育;2582
无机非金属材料工程专业;1264
英语（国际金融英语）;9350
网络工程（中日合作办学项目）;4828
软件工程（本科）;7430
临床医学（学校卫生保健）;3788
计算机应用技术（视觉传达设计）;830
服装制版与工艺;4160
计算机科学与技术（HND项目计算机网络技术）;9175
计算机辅助设计与制造（理工类）;5058
自动化专业（卓越计划班）;5989
应用心理学（心理健康咨询与教育方向）;1479
表演（戏剧影视方向）;4975
汉语言文学（文化产业管理方向）;2102
艺术设计（装潢）;4697
表演艺术（曲艺表演） ;1452
公共事业管理（中外合作办学）;3981
光电信息科学与工程 ;1491
物流实务与会计―?前途无量的;7810
商务英语（国际物流与货代方向）;7057
英语（英法双语）;7279
作曲;3739
物业管理/园林技术;4220
物理学（物理实验技术）（师范）;3993
高分子材料加工工程（高分子材料加工技术方向，与广东轻工职业技术学院联合培养）;7517
机械设计制造及其自动化专业（中外合作办学）;5980
纳米材料与技术;212
装潢艺术设计（平面设计）;7651
生物工程(环境生物技术方向);7232
汉语言文学（二批）;5590
英语（科技翻译）;3582
土木工程(道路与桥梁工程);4644
俄语（旅业商务俄语）;8241
畜牧兽医（五年）;9504
国际商务(中美合作);4348
新闻采编与制作（影视后期剪辑方向）;6729
园艺技术专业;6778
日语（商务日语）;2886
保险实务（汽车评估与定损）;9485
通信技术（应用电子与现代通信技术方向）;3269
应用电子技术(微控方向);3504
资源勘查工程专业（地质类）;5952
文物保护技术;4
计算机网络技术（金融方向）;2260
计算机应用技术（计算机应用与软件设计）;4390
四年制本科公共事业管理专业;550
药物分析技术（华佗国药班）;4700
录音技术与艺术;5899
城市园林 ;7639
数控技术  ;1706
国际贸易（国际贸易与法律方向）;7828
旅游管理(生态旅游方向);6272
防雷工程;5190
供热通风与空调工程技术专业（建筑水电技术方向）;3297
戏曲(京剧、河北梆子)伴奏;1897
图文信息技术（非师范专业）;9392
工艺绘画（壁画方向）;1884
机械设计制造及自动化;1485
新闻学 （企业宣传）;6857
摄影摄像技术（图片摄影及制作方向）;8814
物流管理（物流金融方向）;8142
计算机科学与技术（英汉双语授课，学制4年）;2343
计算机网络技术（物联网方向）;3428
医学检查;8600
工商管理（本科，文理兼收）;8429
财务管理（税务会计）;9605
特殊教育（听障教育、智障教育方向）/社区康复（四年制双专科）;4232
数学;53
计算机科学与技术（商业智能）;8606
医学检验技术（本科）;2776
化工与制类;6412
环境艺术设计 ( 景观设计方向 );3398
旅游日语（赴日研修班方向）;3446
